cataratas	CATARATAS
catéter	CATÉTER
causa de la muerte	CAUSA-DE-LA-MUERTE
ceguera cortical	CEGUERA-CORTICAL
centro de acogida de niños	CENTRO-DE-ACOGIDA-DE-NIÑOS
centro de cuidados temporales	CENTRO-DE-CUIDADOS-TEMPORALES
centro de discapacitados	CENTRO-DE-DISCAPACITADOS
centro de salud	CENTRO-DE-SALUD
cepillado de los dientes	CEPILLADO-DE-LOS-DIENTES
cepillo de dientes	CEPILLO-DE-DIENTES
cepillo de dientes eléctrico	CEPILLO-DE-DIENTES-ELÉCTRICO
cepillo dental	CEPILLO-DENTAL
cepillo para espalda	CEPILLO-PARA-ESPALDA
certificado de defunción	CERTIFICADO-DE-DEFUNCIÓN
certificado de vacunación	CERTIFICADO-DE-VACUNACIÓN
certificado médico	CERTIFICADO-MÉDICO
cesárea	CESÁREA
champú	CHAMPÚ
cicatrizar	CICATRIZAR
ciclo menstrual	CICLO-MENSTRUAL
ciego	CIEGO
cigarrillo	CIGARRILLO
cinetosis	CINETOSIS
cinturón CTG	CINTURÓN-CTG
circuncisión	CIRCUNCISIÓN
cirugía	CIRUGÍA
cirugía estética	CIRUGÍA-ESTÉTICA
cirugía maxilofacial	CIRUGÍA-MAXILOFACIAL
cirujano	CIRUJANO
claustrofobia	CLAUSTROFOBIA
cloro	CLORO
clímax	CLÍMAX
clínica	CLÍNICA
clínica de reposo	CLÍNICA-DE-REPOSO
clítoris	CLÍTORIS
cocaína	COCAÍNA
cognición social	COGNICIÓN-SOCIAL
cognitivo	COGNITIVO
coitus interruptus	COITUS-INTERRUPTUS
cojear	COJEAR
cojo	COJO
colirio	COLIRIO
colirio	COLIRIO
collarín	COLLARÍN
coma	COMA
comparación social	COMPARACIÓN-SOCIAL
complejo	COMPLEJO
complejo de Edipo	COMPLEJO-DE-EDIPO
compresa	COMPRESA
compulsión	COMPULSIÓN
con movilidad reducida	CON-MOVILIDAD-REDUCIDA
concepción	CONCEPCIÓN
concertar una cita	CONCERTAR-UNA-CITA
condición	CONDICIÓN
conducta de riesgo	CONDUCTA-DE-RIESGO
condón	CONDÓN
confidencialidad	CONFIDENCIALIDAD
confinamiento	CONFINAMIENTO
congénito	CONGÉNITO
conjuntivitis	CONJUNTIVITIS
conmoción cerebral	CONMOCIÓN-CEREBRAL
consciencia	CONSCIENCIA
consciente	CONSCIENTE
consulta médica	CONSULTA-MÉDICA
consultar	CONSULTAR
consultorio	CONSULTORIO
consumidor de drogas	CONSUMIDOR-DE-DROGAS
consumo simultáneo de drogas	CONSUMO-SIMULTÁNEO-DE-DROGAS
contagioso	CONTAGIOSO
contorno de cintura	CONTORNO-DE-CINTURA
contracción	CONTRACCIÓN
control  de plagas	CONTROL--DE-PLAGAS
control de natalidad	CONTROL-DE-NATALIDAD
convalecencia	CONVALECENCIA
cordura	CORDURA
Coronavirus	CORONAVIRUS
corte	CORTE
corto de vista	CORTO-DE-VISTA
Covid-19	COVID-19
crecer	CRECER
crecimiento	CRECIMIENTO
cuadro clínico	CUADRO-CLÍNICO
cuarentena	CUARENTENA
cuello uterino	CUELLO-UTERINO
cuerpo lúteo	CUERPO-LÚTEO
cuidado	CUIDADO
cuidado en el hogar después de la estancia hospitalaria	CUIDADO-EN-EL-HOGAR-DESPUÉS-DE-LA-ESTANCIA-HOSPITALARIA
cuidado médico	CUIDADO-MÉDICO
cuidados de larga duración	CUIDADOS-DE-LARGA-DURACIÓN
cuidados paliativos	CUIDADOS-PALIATIVOS
curar	CURAR
cuña	CUÑA
cáncer	CÁNCER
cáncer uterino	CÁNCER-UTERINO
cáñamo	CÁÑAMO
daltonismo	DALTONISMO
dar náuseas	DAR-NÁUSEAS
darse el lote	DARSE-EL-LOTE
daño	DAÑO
daño cerebral	DAÑO-CEREBRAL
de hierbas	DE-HIERBAS
defecación	DEFECACIÓN
deficiencia	DEFICIENCIA
demencia	DEMENCIA
demencia	DEMENCIA
demencia vascular	DEMENCIA-VASCULAR
dengue	DENGUE
dentista	DENTISTA
departamento ambulatorio	DEPARTAMENTO-AMBULATORIO
dependencia del alcohol	DEPENDENCIA-DEL-ALCOHOL
depresión	DEPRESIÓN
depresor lingual	DEPRESOR-LINGUAL
deprimido	DEPRIMIDO
deprimir	DEPRIMIR
dermatología	DERMATOLOGÍA
derrumbarse	DERRUMBARSE
desfibrilador	DESFIBRILADOR
desinfección	DESINFECCIÓN
desinfectante de manos	DESINFECTANTE-DE-MANOS
desintoxicación	DESINTOXICACIÓN
desmayarse	DESMAYARSE
desmayo	DESMAYO
desnudo	DESNUDO
desodorante	DESODORANTE
desorden	DESORDEN
desorden alimenticio	DESORDEN-ALIMENTICIO
desorden de comportamiento	DESORDEN-DE-COMPORTAMIENTO
desorden neuropsiquiátrico	DESORDEN-NEUROPSIQUIÁTRICO
detección temprana	DETECCIÓN-TEMPRANA
deterioro cognitivo	DETERIORO-COGNITIVO
determinación del sexo	DETERMINACIÓN-DEL-SEXO
diabetes	DIABETES
diabético	DIABÉTICO
diagnosis	DIAGNOSIS
diagnosticar	DIAGNOSTICAR
diagnóstico	DIAGNÓSTICO
diarrea	DIARREA
diente	DIENTE
diente de leche	DIENTE-DE-LECHE
dieta	DIETA
dieta adelgazante	DIETA-ADELGAZANTE
dietoterapia	DIETOTERAPIA
dificultad severa en el aprendizaje	DIFICULTAD-SEVERA-EN-EL-APRENDIZAJE
dificultad severa y profunda en el aprendizaje	DIFICULTAD-SEVERA-Y-PROFUNDA-EN-EL-APRENDIZAJE
difteria	DIFTERIA
dioptria	DIOPTRIA
dipsomanía	DIPSOMANÍA
discapacidad	DISCAPACIDAD
discapacidad	DISCAPACIDAD
discapacidad auditiva	DISCAPACIDAD-AUDITIVA
discapacidad física	DISCAPACIDAD-FÍSICA
discapacidad intelectual	DISCAPACIDAD-INTELECTUAL
discapacidad múltiple	DISCAPACIDAD-MÚLTIPLE
discapacidad sensorial	DISCAPACIDAD-SENSORIAL
discapacidad visual	DISCAPACIDAD-VISUAL
discapacitado	DISCAPACITADO
discapacitado	DISCAPACITADO
discapacitado físico	DISCAPACITADO-FÍSICO
discapacitado psíquico	DISCAPACITADO-PSÍQUICO
discapacitado social	DISCAPACITADO-SOCIAL
disfasia	DISFASIA
disfunción eréctil	DISFUNCIÓN-ERÉCTIL
disgrafía	DISGRAFÍA
dislexia	DISLEXIA
disléxico	DISLÉXICO
dispensador de jabón	DISPENSADOR-DE-JABÓN
dispensario	DISPENSARIO
dispositivo intrauterino	DISPOSITIVO-INTRAUTERINO
